employee_id,name,department,role,weekly_values,adjustments,deductions
E1190,Sam Brown,Engineering,Clerk,"[1297.44, 1437.05, 1475.17, 1456.61]",{},"{""tax"": 144.5, ""pension"": 27.03}"
E1191,Pat Garcia,HR,Engineer,"[2058.14, 2169.11, 2017.01, 2218.47]",{},"{""tax"": 343.9, ""pension"": 43.99}"
E1192,Taylor Garcia,Sales,Director,"[2788.03, 2416.23, 2374.14, 2391.01]",{},"{""tax"": 326.79, ""pension"": 98.49}"
E1193,Jamie Garcia,Sales,Analyst,"[873.84, 949.4, 821.46, 836.33]",{},"{""tax"": 118.65, ""pension"": 32.35}"
E1194,Taylor Rodriguez,Sales,Director,"[2170.44, 2170.02, 2100.63, 2057.12]",{},"{""tax"": 312.03, ""pension"": 93.18}"
E1195,Chris Miller,Engineering,Analyst,"[3078.42, 3002.24, 2877.01, 2914.57]",{},"{""tax"": 531.91, ""pension"": 103.08}"
E1196,Jamie Williams,HR,Clerk,"[1404.99, 1297.57, 1326.03, 1291.08]",{},"{""tax"": 270.32, ""pension"": 41.94}"
E1197,Chris Williams,Finance,Analyst,"[2492.12, 2523.08, 2469.63, 2488.88]",{},"{""tax"": 435.64, ""pension"": 63.36}"
E1198,Casey Garcia,Finance,Director,"[873.77, 947.77, 823.66, 965.79]",{},"{""tax"": 122.76, ""pension"": 20.3}"
E1199,Morgan Miller,HR,Manager,"[2524.78, 2463.59, 2358.89, 2463.53]",{},"{""tax"": 402.3, ""pension"": 89.09}"
